business_id,menu_items,is_popular
1116,filtered coffee,0
1116,frangipane croissant,1
1116,morning bun,1
1116,spicy turkey sandwich,1
1116,quiche slice,1
1116,croque monsieur,1
1116,double pain au chocolat,1
1116,cafe au lait,0
1116,cold brew iced coffee,0
1116,espresso,0
1116,americano,0
1116,macchiato,0
1116,gibralter,0
1116,cappuccino,0
1116,latte,0
1116,hot chocolate,0
1116,almond milk,0
1116,matcha almond latte,0
1116,12oz roasted coffee beans,0
1116,orange fresh juice,0
1116,grapefruit juice,0
1116,black tea,0
1116,scented tea with bergamot,0
1116,oolong tea,0
1116,green tea,0
1116,peppermint tea,0
1116,lemongrass tea,0
1116,rooibos tea,0
1116,chamomile tea,0
1116,apple juice,0
1116,mexican coco cola,0
1116,sparkling water,0
1116,still water,0
1116,croissant,0
1116,pain au chocolat,0
1116,pain au jambon,0
1116,buttermiilk scone,0
1116,savory scone,0
1116,humboldt fog goat cheese sandwich,0
1116,idiazabal & membrillo sandwich,0
1116,pecorino and almond sandwich,0
1116,jambon royale and gruyere,0
1116,pastrami sandwich,0
1116,seasonal grain salad,0
1116,little side salad,0
1116,brioche bread pudding,0
1116,tea cake,0
1116,gougere,0
1116,muesli,0
1116,baguette,0
1116,country bread,0
1116,seasame bread,0
1116,walnut bread,0
1116,porridge bread,0
1116,ancient grain bread,0
1116,olive bread,0
1116,danish style rye bread,0
1116,coconut macaroon,0
1116,hazelnut biscotti,0
1116,walnut butter cookie,0
1116,rocher,0
1116,chocolate chip walnut cookie,0
1116,mexican wedding,0
1116,chocolate salted buckwheat cookie,0
1116,banana cream tart,0
1116,coconut cream tart,0
1116,lemon cream tart,0
1116,frangipane tart,0
1116,chocolate hazelnut tart,0
1116,lemon meringue cake,0
1116,passion fruit lime bavarian ,0
1116,opera cake,0
1116,chocolate souffle cake,0
1116,chocolate pudding,0
1116,lemon bar,0
1116,eclair,0
1116,cookie bag,0
1116,plain brownie,0
1116,granola bark,0
1116,candy bags and boxes,0
1116,bread pudding,0
1116,buttermilk scones,0
1116,cake aux olives,0
1116,chocolate souffle cake round,0
1116,devils food cake round,0
1116,mozzarella & tapenade sandwich,0
1116,prosciutto and provolone sandwich,0
1116,"sopressata, fontina, brocolli rabe presto sandwich",0
1116,three cheese tasting sandwich,0
1116,tres leches cake round,0
1117,almond chicken,0
1117,beef soup noodles,0
1117,beef tripe,0
1117,beef with bean curd,0
1117,beef with black mushroom,0
1117,beef with green onions,0
1117,beef with oyster sauce,0
1117,beef with snow peas,0
1117,black bean sauce noodles,1
1117,braised bean curd,0
1117,broccoli beef,0
1117,cashew chicken,0
1117,cherry pork,0
1117,chicken soup noodles,0
1117,chicken with black mushrooms,0
1117,cold noodles,0
1117,cold sliced beef,0
1117,cold three delight,0
1117,combination spicy soup noodles,0
1117,curry beef,0
1117,curry shrimp,0
1117,deluxe soup noodles,0
1117,dry black bean sauce noodles,0
1117,dry fried beef,0
1117,dry fried chicken,1
1117,dry fried flounder fillet,0
1117,dry fried shrimp,0
1117,dry sauteed stringbeans,0
1117,egg rolls,0
1117,five spice beef soup noodles,0
1117,flounder fillet with black bean sauce,0
1117,fried shrimp,0
1117,garlic chicken,0
1117,honey walnut prawn,1
1117,hot and sour soup,0
1117,hot braised bean curd,0
1117,jellyfish with cucumbers,0
1117,kung pao chicken,0
1117,kung pao shrimp,0
1117,mongolian beef,1
1117,noodles with peanut sauce,0
1117,pig's ear,0
1117,pork dumplings,1
1117,pork soup noodles,0
1117,pork soup noodles and chinese pickle,0
1117,pork with black mushrooms,0
1117,pork with green onions,0
1117,pork with hot peppers ,0
1117,pork with mustard green soup noodles,0
1117,pork with snow peas,0
1117,potstickers,1
1117,preserved eggs,0
1117,satay beef,0
1117,sauteed bean threads,0
1117,sauteed beans threads,0
1117,sauteed scallops,0
1117,scallops with garlic sauce ,0
1117,seafood soup ,0
1117,seafood soup noodles,0
1117,seaweed soup,0
1117,shredded pork with garlic,0
1117,shredded pork with garlic sauce,0
1117,shrimp and leek dumplings,1
1117,shrimp with black bean sauce,0
1117,shrimp with green beans,0
1117,shrimp with lobster sauce,0
1117,shrimp with mixed vegetable,0
1117,sizzling rice soup,1
1117,spinach and bean curd soup,0
1117,spinach with garlic,0
1117,steamed dumplings,0
1117,sweet and sour pork,0
1117,sweet and sour shrimp,0
1117,three deluxe spicy sauce noodles,0
1117,tomato egg flower soup,0
1117,twice cooked pork,0
1117,vegetable deluxe,0
1117,vegetable soup noodles,0
1117,vegetarian steamed and potstickers,0
1117,wonton soup,0
1118,almond ambur chicken curry bowl,0
1118,andra chicken masala,0
1118,autumn kale and poppy seed uttapam,0
1118,autumn vegetable curry bowl,0
1118,beet vada,0
1118,brussels sprouts poriyal,0
1118,caramelized onion uttapam,0
1118,cauliflower rice,0
1118,chai,0
1118,channa bhatura,1
1118,channa poori,0
1118,chettinad duck,0
1118,chicory and beet salad,0
1118,dahi vada,1
1118,darjeeling iced tea,0
1118,dungeness crab poori,0
1118,egg dosa,0
1118,english pea kofta,0
1118,honeynut squash chaar,0
